,AVAILABILITY,CATEGORY,COVER,N° OF REVIEWS,PRICE,PRICE (excl tax),PRICE (incl tax),PRODUCT_TYPE,STOCK,TAX,TITLE,UPC,reviews
0,In stock (22 available),poetry_23,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/../../media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,0,51.77,51.77,51.77,Books,22,0.00,A Light in the Attic,a897fe39b1053632,Three
1,In stock (20 available),historical-fiction_4,http://books.toscrape.com/catalogue/tipping-the-velvet_999/../../media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,0,53.74,53.74,53.74,Books,20,0.00,Tipping the Velvet,90fa61229261140a,One
2,In stock (20 available),fiction_10,http://books.toscrape.com/catalogue/soumission_998/../../media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,0,50.10,50.10,50.10,Books,20,0.00,Soumission,6957f44c3847a760,One
3,In stock (20 available),mystery_3,http://books.toscrape.com/catalogue/sharp-objects_997/../../media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,0,47.82,47.82,47.82,Books,20,0.00,Sharp Objects,e00eb4fd7b871a48,Four
4,In stock (20 available),history_32,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/../../media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,0,54.23,54.23,54.23,Books,20,0.00,Sapiens: A Brief History of Humankind,4165285e1663650f,Five
5,In stock (19 available),young-adult_21,http://books.toscrape.com/catalogue/the-requiem-red_995/../../media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,0,22.65,22.65,22.65,Books,19,0.00,The Requiem Red,f77dbf2323deb740,One
6,In stock (19 available),business_35,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/../../media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,0,33.34,33.34,33.34,Books,19,0.00,The Dirty Little Secrets of Getting Your Dream Job,2597b5a345f45e1b,Four
7,In stock (19 available),default_15,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/../../media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,0,17.93,17.93,17.93,Books,19,0.00,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",e72a5dfc7e9267b2,Three
8,In stock (19 available),default_15,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/../../media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,0,22.60,22.60,22.60,Books,19,0.00,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,e10e1e165dc8be4a,Four
9,In stock (19 available),poetry_23,http://books.toscrape.com/catalogue/the-black-maria_991/../../media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,0,52.15,52.15,52.15,Books,19,0.00,The Black Maria,1dfe412b8ac00530,One
10,In stock (19 available),default_15,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/../../media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,0,13.99,13.99,13.99,Books,19,0.00,"Starving Hearts (Triangular Trade Trilogy, #1)",0312262ecafa5a40,Two
11,In stock (19 available),poetry_23,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/../../media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,0,20.66,20.66,20.66,Books,19,0.00,Shakespeare's Sonnets,30a7f60cd76ca58c,Four
12,In stock (19 available),young-adult_21,http://books.toscrape.com/catalogue/set-me-free_988/../../media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg,0,17.46,17.46,17.46,Books,19,0.00,Set Me Free,ce6396b0f23f6ecc,Five
13,In stock (19 available),sequential-art_5,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/../../media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,0,52.29,52.29,52.29,Books,19,0.00,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),3b1c02bac2a429e6,Five
14,In stock (19 available),music_14,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/../../media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,0,35.02,35.02,35.02,Books,19,0.00,Rip it Up and Start Again,a34ba96d4081e6a4,Five
15,In stock (19 available),music_14,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/../../media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,0,57.25,57.25,57.25,Books,19,0.00,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",deda3e61b9514b83,Three
16,In stock (19 available),poetry_23,http://books.toscrape.com/catalogue/olio_984/../../media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,0,23.88,23.88,23.88,Books,19,0.00,Olio,feb7cc7701ecf901,One
17,In stock (19 available),science-fiction_16,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/../../media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,0,37.59,37.59,37.59,Books,19,0.00,Mesaerion: The Best Science Fiction Stories 1800-1849,e30f54cea9b38190,One
18,In stock (19 available),politics_48,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/../../media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg,0,51.33,51.33,51.33,Books,19,0.00,Libertarianism for Beginners,a18a4f574854aced,Two
19,In stock (19 available),travel_2,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/../../media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,0,45.17,45.17,45.17,Books,19,0.00,It's Only the Himalayas,a22124811bfa8350,Two
20,In stock (19 available),thriller_37,http://books.toscrape.com/catalogue/in-her-wake_980/../../media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg,0,12.84,12.84,12.84,Books,19,0.00,In Her Wake,23356462d1320d61,One
21,In stock (19 available),music_14,http://books.toscrape.com/catalogue/how-music-works_979/../../media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg,0,37.32,37.32,37.32,Books,19,0.00,How Music Works,327f68a59745c102,Two
22,In stock (19 available),food-and-drink_33,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/../../media/cache/9f/58/9f58d3ff6d58589eaf325b1a33c303a0.jpg,0,30.52,30.52,30.52,Books,19,0.00,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",5674a18a29a43ced,Three
23,In stock (19 available),romance_8,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/../../media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg,0,25.27,25.27,25.27,Books,19,0.00,Chase Me (Paris Nights #2),c2e46a2ee3b4a322,Five
24,In stock (19 available),romance_8,http://books.toscrape.com/catalogue/black-dust_976/../../media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg,0,34.53,34.53,34.53,Books,19,0.00,Black Dust,00bfed9e18bb36f3,Five
25,In stock (19 available),childrens_11,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/../../media/cache/af/2f/af2fe2419ea136f2cd567aa92082c3ae.jpg,0,54.64,54.64,54.64,Books,19,0.00,Birdsong: A Story in Pictures,9528d0948525bf5f,Three
26,In stock (19 available),default_15,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/../../media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg,0,22.50,22.50,22.50,Books,19,0.00,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,c7d160c2c0de586f,Three
27,In stock (19 available),default_15,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/../../media/cache/a8/3c/a83c460fab82f35a37c0846729485547.jpg,0,53.13,53.13,53.13,Books,19,0.00,Aladdin and His Wonderful Lamp,904208d6aa64b655,Three
